ds,temps
2017-05-01 00:00:00,27.8
2017-05-01 00:05:00,27.0
2017-05-01 00:10:00,26.8
2017-05-01 00:15:00,26.5
2017-05-01 00:20:00,25.6
2017-05-01 00:25:00,25.0
2017-05-01 00:30:00,24.9
2017-05-01 00:35:00,24.1
2017-05-01 00:40:00,23.7
2017-05-01 00:45:00,23.2
2017-05-01 00:50:00,22.6
2017-05-01 00:55:00,21.5
2017-05-01 01:00:00,20.8
2017-05-01 01:05:00,20.1
2017-05-01 01:10:00,19.1
2017-05-01 01:15:00,17.9
2017-05-01 01:20:00,17.5
2017-05-01 01:25:00,16.6
2017-05-01 01:30:00,16.2
2017-05-01 01:35:00,15.5
2017-05-01 01:40:00,14.9
2017-05-01 01:45:00,14.5
2017-05-01 01:50:00,14.2
2017-05-01 01:55:00,13.6
2017-05-01 02:00:00,13.4
2017-05-01 02:05:00,13.0
2017-05-01 02:10:00,12.6
2017-05-01 02:15:00,12.3
2017-05-01 02:20:00,12.0
2017-05-01 02:25:00,11.8
2017-05-01 02:30:00,11.5
2017-05-01 02:35:00,11.2
2017-05-01 02:40:00,11.1
2017-05-01 02:45:00,10.9
2017-05-01 02:50:00,10.6
2017-05-01 02:55:00,10.4
2017-05-01 03:00:00,10.2
2017-05-01 03:05:00,10.0
2017-05-01 03:10:00,9.9
2017-05-01 03:15:00,9.8
2017-05-01 03:20:00,9.6
2017-05-01 03:25:00,9.4
2017-05-01 03:30:00,9.3
2017-05-01 03:35:00,9.1
2017-05-01 03:40:00,9.0
2017-05-01 03:45:00,9.0
2017-05-01 03:50:00,8.9
2017-05-01 03:55:00,8.8
2017-05-01 04:00:00,8.6
2017-05-01 04:05:00,8.5
2017-05-01 04:10:00,8.5
2017-05-01 04:15:00,8.4
2017-05-01 04:20:00,8.3
2017-05-01 04:25:00,8.2
2017-05-01 04:30:00,8.2
2017-05-01 04:35:00,8.1
2017-05-01 04:40:00,8.0
2017-05-01 04:45:00,7.9
2017-05-01 04:50:00,7.8
2017-05-01 04:55:00,7.7
2017-05-01 05:00:00,7.7
2017-05-01 05:05:00,7.6
2017-05-01 05:10:00,7.5
2017-05-01 05:15:00,7.4
2017-05-01 05:20:00,7.4
2017-05-01 05:25:00,7.4
2017-05-01 05:30:00,7.3
2017-05-01 05:35:00,7.3
2017-05-01 05:40:00,7.0
2017-05-01 05:45:00,7.0
2017-05-01 05:50:00,7.0
2017-05-01 05:55:00,6.9
2017-05-01 06:00:00,7.0
2017-05-01 06:05:00,7.0
2017-05-01 06:10:00,6.8
2017-05-01 06:15:00,6.8
2017-05-01 06:20:00,6.7
2017-05-01 06:25:00,6.7
2017-05-01 06:30:00,6.7
2017-05-01 06:35:00,6.7
2017-05-01 06:40:00,6.6
2017-05-01 06:45:00,6.4
2017-05-01 06:50:00,6.2
2017-05-01 06:55:00,6.1
2017-05-01 07:00:00,6.0
2017-05-01 07:05:00,5.9
2017-05-01 07:10:00,5.7
2017-05-01 07:15:00,5.5
2017-05-01 07:20:00,5.4
2017-05-01 07:25:00,5.3
2017-05-01 07:30:00,5.2
2017-05-01 07:35:00,5.1
2017-05-01 07:40:00,5.0
2017-05-01 07:45:00,5.0
2017-05-01 07:50:00,4.9
2017-05-01 07:55:00,4.9
2017-05-01 08:00:00,4.8
2017-05-01 08:05:00,4.7
2017-05-01 08:10:00,4.8
2017-05-01 08:15:00,4.8
2017-05-01 08:20:00,4.8
2017-05-01 08:25:00,4.7
2017-05-01 08:30:00,4.6
2017-05-01 08:35:00,4.6
2017-05-01 08:40:00,4.6
2017-05-01 08:45:00,4.6
2017-05-01 08:50:00,4.6
2017-05-01 08:55:00,4.4
2017-05-01 09:00:00,4.3
2017-05-01 09:05:00,4.3
2017-05-01 09:10:00,4.2
2017-05-01 09:15:00,4.1
2017-05-01 09:20:00,4.0
2017-05-01 09:25:00,4.0
2017-05-01 09:30:00,4.1
2017-05-01 09:35:00,3.9
2017-05-01 09:40:00,3.8
2017-05-01 09:45:00,3.8
2017-05-01 09:50:00,3.9
2017-05-01 09:55:00,3.9
2017-05-01 10:00:00,3.8
2017-05-01 10:05:00,3.9
2017-05-01 10:10:00,3.9
2017-05-01 10:15:00,3.8
2017-05-01 10:20:00,3.6
2017-05-01 10:25:00,3.6
2017-05-01 10:30:00,3.5
2017-05-01 10:35:00,3.4
2017-05-01 10:40:00,3.3
2017-05-01 10:45:00,3.2
2017-05-01 10:50:00,3.3
2017-05-01 10:55:00,3.4
2017-05-01 11:00:00,3.3
2017-05-01 11:05:00,3.3
2017-05-01 11:10:00,3.4
2017-05-01 11:15:00,3.5
2017-05-01 11:20:00,3.4
2017-05-01 11:25:00,3.3
2017-05-01 11:30:00,3.3
2017-05-01 11:35:00,3.5
2017-05-01 11:40:00,3.6
2017-05-01 11:45:00,3.4
2017-05-01 11:50:00,3.4
2017-05-01 11:55:00,3.4
2017-05-01 12:00:00,3.7
2017-05-01 12:05:00,3.8
2017-05-01 12:10:00,3.9
2017-05-01 12:15:00,3.9
2017-05-01 12:20:00,3.8
2017-05-01 12:25:00,3.7
2017-05-01 12:30:00,3.7
2017-05-01 12:35:00,3.8
2017-05-01 12:40:00,3.7
2017-05-01 12:45:00,3.6
2017-05-01 12:50:00,3.6
2017-05-01 12:55:00,3.6
2017-05-01 13:00:00,3.5
2017-05-01 13:05:00,3.5
2017-05-01 13:10:00,3.7
2017-05-01 13:15:00,3.6
2017-05-01 13:20:00,3.6
2017-05-01 13:25:00,3.8
2017-05-01 13:30:00,3.9
2017-05-01 13:35:00,4.0
2017-05-01 13:40:00,3.9
2017-05-01 13:45:00,4.0
2017-05-01 13:50:00,4.0
2017-05-01 13:55:00,4.0
2017-05-01 14:00:00,4.2
2017-05-01 14:05:00,4.2
2017-05-01 14:10:00,4.3
2017-05-01 14:15:00,4.3
2017-05-01 14:20:00,4.2
2017-05-01 14:25:00,4.4
2017-05-01 14:30:00,4.5
2017-05-01 14:35:00,4.7
2017-05-01 14:40:00,4.8
2017-05-01 14:45:00,5.0
2017-05-01 14:50:00,5.1
2017-05-01 14:55:00,5.3
2017-05-01 15:00:00,5.6
2017-05-01 15:05:00,6.0
2017-05-01 15:10:00,6.4
2017-05-01 15:15:00,6.6
2017-05-01 15:20:00,7.1
2017-05-01 15:25:00,7.8
2017-05-01 15:30:00,8.2
2017-05-01 15:35:00,8.6
2017-05-01 15:40:00,9.5
